nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
,653,,,,7.5057406,0.001,
,654,,,,8.024018,0.001,
,655,,,,6.6615705,0.001,
,656,,,,7.01508,0.001,
,657,,,,5.3488374,0.001,
,658,,,,5.709949,0.001,
,659,,,,6.786257,0.001,
,660,,,,7.5341415,0.001,
,661,,,,6.3382926,0.001,
,662,,,,6.6432962,0.001,
,663,,,,7.564173,0.001,
,664,,,,7.799358,0.001,
,665,,,,6.4058304,0.001,
,666,,,,6.834242,0.001,
,667,,,,6.2638545,0.001,
,668,,,,5.1453896,0.001,
,669,,,,6.6247854,0.001,
,670,,,,7.771579,0.001,
,671,,,,6.6510177,0.001,
,672,,,,5.803802,0.001,
,673,,,,7.5575027,0.001,
,674,,,,6.7821712,0.001,
,675,,,,7.3027296,0.001,
,676,,,,7.232803,0.001,
,677,,,,6.588433,0.001,
,678,,,,7.550826,0.001,
,679,,,,5.7554026,0.001,
,680,,,,8.252611,0.001,
,681,,,,6.009641,0.001,
,682,,,,7.0801964,0.001,
,683,,,,5.4445906,0.001,
,684,,,,6.385753,0.001,
,685,,,,5.331418,0.001,
,686,,,,7.369515,0.001,
,687,,,,6.6144037,0.001,
,688,,,,6.146348,0.001,
,689,,,,6.8449936,0.001,
,690,,,,6.66505,0.001,
,691,,,,6.7940407,0.001,
,692,,,,7.676242,0.001,
,693,,,,6.648705,0.001,
,694,,,,6.1545157,0.001,
,695,,,,6.7628922,0.001,
,696,,,,8.619447,0.001,
,697,,,,6.394961,0.001,
,698,,,,7.601369,0.001,
,699,,,,7.610526,0.001,
,700,,,,7.4817753,0.001,
,701,,,,5.1551714,0.001,
,702,,,,9.457663,0.001,
,703,,,,4.3780847,0.001,
,704,,,,6.5966296,0.001,
,705,,,,6.982788,0.001,
,706,,,,9.60483,0.001,
,707,,,,5.0119686,0.001,
,708,,,,10.816032,0.001,
,709,,,,5.1021633,0.001,
,710,,,,6.27952,0.001,
,711,,,,3.465009,0.001,
,712,,,,8.022039,0.001,
,713,,,,5.298869,0.001,
,714,,,,7.7107735,0.001,
